Título;;;;;;;;;;
V: Tipo de vivienda;;;;;;;;;;
Área Geográfica;;;;;;;;;;
Lima;;;;;;;;;;
Universo;;;;;;;;;;
Viviendas Particulares;;;;;;;;;;
;;;;;;;;;;
;Código;Distrito;Casa Independiente;Departamento en edificio;Vivienda en quinta;Vivienda en casa de vecindad (Callejón, solar o corralón);Choza o cabaña;Vivienda improvisada;Local no destinado para habitación humana;
;150101;Lima, Lima, distrito: Lima;   40 914;   36 103;   11 461;   2 750;    0;    66;    212;
;150102;Lima, Lima, distrito: Ancón;   25 428;    884;    28;    62;    0;    548;    25;
;150103;Lima, Lima, distrito: Ate;   135 872;   34 672;   1 215;   1 132;    0;   5 341;    216;
;150104;Lima, Lima, distrito: Barranco;   4 832;   6 461;   1 887;    302;    0;    5;    22;
;150105;Lima, Lima, distrito: Breña;   9 344;   13 635;   5 759;    902;    0;    21;    93;
;150106;Lima, Lima, distrito: Carabayllo;   93 870;   5 427;    519;    402;    690;   1 170;    131;
;150107;Lima, Lima, distrito: Chaclacayo;   10 385;   1 192;    61;    43;    0;    22;    10;
;150108;Lima, Lima, distrito: Chorrillos;   58 261;   18 519;   2 214;    944;    0;    315;    133;
;150109;Lima, Lima, distrito: Cieneguilla;   11 576;    102;    55;    182;    2;   1 283;    17;
;150110;Lima, Lima, distrito: Comas;   115 350;   16 806;    334;    526;    0;    579;    178;
;150111;Lima, Lima, distrito: El Agustino;   38 957;   11 944;    624;    456;    0;    163;    49;
;150112;Lima, Lima, distrito: Independencia;   47 789;   4 997;    153;    222;    0;    361;    59;
;150113;Lima, Lima, distrito: Jesús María;   6 236;   19 230;   2 772;    456;    0;    7;    42;
;150114;Lima, Lima, distrito: La Molina;   25 026;   19 309;    339;    115;    0;    44;    49;
;150115;Lima, Lima, distrito: La Victoria;   24 532;   27 088;   7 053;   1 932;    0;    52;    275;
;150116;Lima, Lima, distrito: Lince;   6 550;   12 795;   2 117;    417;    0;    16;    37;
;150117;Lima, Lima, distrito: Los Olivos;   63 874;   25 436;    252;    290;    0;    95;    159;
;150118;Lima, Lima, distrito: Lurigancho;   75 004;   5 476;   1 093;    725;    0;   5 642;    137;
;150119;Lima, Lima, distrito: Lurin;   25 395;   1 639;    506;    286;    0;    181;    88;
;150120;Lima, Lima, distrito: Magdalena del Mar;   5 864;   14 034;   1 947;    280;    0;    10;    13;
;150121;Lima, Lima, distrito: Pueblo Libre;   12 042;   16 650;   1 248;    333;    0;    12;    28;
;150122;Lima, Lima, distrito: Miraflores;   9 336;   38 628;   1 990;    270;    0;    5;    39;
;150123;Lima, Lima, distrito: Pachacamac;   36 811;    346;    165;    283;    10;   2 649;    40;
;150124;Lima, Lima, distrito: Pucusana;   6 817;    169;    13;    20;    0;    256;    8;
;150125;Lima, Lima, distrito: Puente Piedra;   86 724;   5 529;    374;    496;    0;   2 246;    192;
;150126;Lima, Lima, distrito: Punta Hermosa;   8 022;    859;    15;    38;    0;    387;    7;
;150127;Lima, Lima, distrito: Punta Negra;   3 691;    16;    2;    18;    8;    30;    6;
;150128;Lima, Lima, distrito: Rímac;   35 651;   11 351;   4 497;   1 657;    0;    152;    61;
;150129;Lima, Lima, distrito: San Bartolo;   3 009;    702;    2;    3;    0;    15;    5;
;150130;Lima, Lima, distrito: San Borja;   13 022;   26 897;    90;    77;    0;    9;    26;
;150131;Lima, Lima, distrito: San Isidro;   7 475;   19 699;    287;    85;    0;    4;    21;
;150132;Lima, Lima, distrito: San Juan de Lurigancho;   260 403;   34 097;    961;   1 430;    0;   16 827;    374;
;150133;Lima, Lima, distrito: San Juan de Miraflores;   76 586;   10 120;    176;    209;    0;    463;    76;
;150134;Lima, Lima, distrito: San Luis;   7 433;   7 117;    185;    140;    0;    11;    76;
;150135;Lima, Lima, distrito: San Martín de Porres;   133 620;   42 443;   1 258;   1 257;    0;    283;    239;
;150136;Lima, Lima, distrito: San Miguel;   21 268;   29 018;   1 798;    568;    0;    16;    29;
;150137;Lima, Lima, distrito: Santa Anita;   36 490;   18 981;    394;    533;    0;    53;    89;
;150138;Lima, Lima, distrito: Santa María del Mar;    558;    758;    14;    0;    0;    1;    1;
;150139;Lima, Lima, distrito: Santa Rosa;   13 593;    70;    8;    9;    0;    674;    5;
;150140;Lima, Lima, distrito: Santiago de Surco;   46 275;   68 733;   1 714;    664;    0;    58;    68;
;150141;Lima, Lima, distrito: Surquillo;   11 820;   18 894;   2 818;    653;    0;    16;    77;
;150142;Lima, Lima, distrito: Villa el Salvador;   86 632;   5 277;    189;    281;    0;    312;    127;
;150143;Lima, Lima, distrito: Villa María del Triunfo;   101 592;   3 285;    516;    447;    0;   2 286;    86;
;150201;Lima, Barranca, distrito: Barranca;   19 179;   1 288;    422;    408;    88;    138;    19;
;150202;Lima, Barranca, distrito: Paramonga;   8 488;    51;    3;    17;    11;    7;    9;
